127.0.0.1 - - [14/Jan/2020:09:02:52 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:02:54 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:02:55 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:02:55 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:03:55 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:04:23 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:04:49 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:26:24 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:26:25 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:26:46 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:26:46 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:26:47 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:27:07 +0900] "GET /edu/jsexam/storageexam/smilenew.html HTTP/1.1" 200 2100
